Miami,1.125,0.454,0
Phoenix,0.905,1.63,0
Charlotte,0.879,0.842,0
Atlanta,0.837,0.486,0
Las Vegas,0.788,0.648,0
Los Angeles,0.735,4.03,0
Portland,0.669,0.64,0
Washington D.C.,0.613,0.702,0
Denver,0.475,0.705,0
San Jose,0.394,1.03,0
Chicago,0.38,2.7,0
San Diego,0.326,1.41,0
New York City,0.304,8.54,0
San Francisco,0.261,0.884,0
